ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
TLS,461070,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Women],55,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_W_CRE,135303010,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWCRE,,2009-10,DHS,5748,5397,,,
TLS,461071,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],34.2,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_W_VEG,135303020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWVEG,,2009-10,DHS,5748,5397,,,
TLS,461073,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Women],44.2,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_W_FTC,135303030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWFTC,,2009-10,DHS,5748,5397,,,
TLS,461072,Accepting attitudes - Not secretive about family member's HIV status (4) [Women],84.1,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_W_SEC,135303040,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWSEC,,2009-10,DHS,5748,5397,,,
TLS,461104,Accepting attitudes towards those living with HIV - Composite of 4 components [Women],11.1,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_W_AAT,135303050,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWAAT,,2009-10,DHS,5748,5397,,,
TLS,468218,Number of women who have heard of AIDS,5748,0,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_W_NUM,135303060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWNUM,,2009-10,DHS,,5397,,,
TLS,285178,Number of women who have heard of AIDS (unweighted),5397,0,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_W_UNW,135303070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWUNW,,2009-10,DHS,5748,,,,
TLS,687147,Accepting attitudes - Willing to care for family member sick with AIDS (1) [Men],26.4,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_M_CRE,135304080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMCRE,,2009-10,DHS,2474,2442,,,
TLS,687148,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Men],21.8,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_M_VEG,135304090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMVEG,,2009-10,DHS,2474,2442,,,
TLS,687149,Accepting attitudes - Female teacher who is HIV+ but not sick should be allowed to continue teaching in school (3) [Men],27.8,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_M_FTC,135304100,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMFTC,,2009-10,DHS,2474,2442,,,
TLS,687150,Accepting attitudes - Not secretive about family member's HIV status (4) [Men],87.3,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_M_SEC,135304110,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMSEC,,2009-10,DHS,2474,2442,,,
TLS,687151,Accepting attitudes towards those living with HIV - Composite of 4 components [Men],3.4,1,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_M_AAT,135304120,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMAAT,,2009-10,DHS,2474,2442,,,
TLS,689438,Number of men who have heard of AIDS,2474,0,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_M_NUM,135304130,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMNUM,,2009-10,DHS,,2442,,,
TLS,279400,Number of men who have heard of AIDS (unweighted),2442,0,TL,Timor-Leste,2009,TL2009DHS,HA_AATT_M_UNW,135304140,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMUNW,,2009-10,DHS,2474,,,,
TLS,270473,Woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women [Women],64.8,1,TL,Timor-Leste,2009,TL2009DHS,HA_ANSS_W_RSX,135333020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSWRSX,,2009-10,DHS,13137,13137,,,
TLS,98072,Number of women,13137,0,TL,Timor-Leste,2009,TL2009DHS,HA_ANSS_W_NUM,135333040,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSWNUM,,2009-10,DHS,,13137,,,
TLS,270445,Number of women (unweighted),13137,0,TL,Timor-Leste,2009,TL2009DHS,HA_ANSS_W_UNW,135333050,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSWUNW,,2009-10,DHS,13137,,,,
TLS,423129,Woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women [Men],71.1,1,TL,Timor-Leste,2009,TL2009DHS,HA_ANSS_M_RSX,135334070,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSMRSX,,2009-10,DHS,4076,4076,,,
TLS,426854,Number of men,4076,0,TL,Timor-Leste,2009,TL2009DHS,HA_ANSS_M_NUM,135334090,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSMNUM,,2009-10,DHS,,4076,,,
TLS,198083,Number of men (unweighted),4076,0,TL,Timor-Leste,2009,TL2009DHS,HA_ANSS_M_UNW,135334100,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSMUNW,,2009-10,DHS,4076,,,,
TLS,98291,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Women],10.3,1,TL,Timor-Leste,2016,TL2016DHS,HA_AATT_W_VEG,135303020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWVEG,,2016,DHS,2003,2031,,,
TLS,98293,Number of women who have heard of AIDS,2003,0,TL,Timor-Leste,2016,TL2016DHS,HA_AATT_W_NUM,135303060,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWNUM,,2016,DHS,,2031,,,
TLS,98286,Number of women who have heard of AIDS (unweighted),2031,0,TL,Timor-Leste,2016,TL2016DHS,HA_AATT_W_UNW,135303070,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTWUNW,,2016,DHS,2003,,,,
TLS,358644,Accepting attitudes - Would buy fresh vegetables from a shopkeeper with AIDS (2) [Men],15.3,1,TL,Timor-Leste,2016,TL2016DHS,HA_AATT_M_VEG,135304090,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMVEG,,2016,DHS,2705,2662,,,
TLS,98288,Number of men who have heard of AIDS,2705,0,TL,Timor-Leste,2016,TL2016DHS,HA_AATT_M_NUM,135304130,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMNUM,,2016,DHS,,2662,,,
TLS,358648,Number of men who have heard of AIDS (unweighted),2662,0,TL,Timor-Leste,2016,TL2016DHS,HA_AATT_M_UNW,135304140,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAAATTMUNW,,2016,DHS,2705,,,,
TLS,401318,Woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women [Women],34.4,1,TL,Timor-Leste,2016,TL2016DHS,HA_ANSS_W_RSX,135333020,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSWRSX,,2016,DHS,4305,4305,,,
TLS,401319,Woman is justified in asking that they use a condom if she knows that her husband has an sti [Women],23.3,1,TL,Timor-Leste,2016,TL2016DHS,HA_ANSS_W_CND,135333030,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSWCND,,2016,DHS,4305,4305,,,
TLS,405216,Number of women,4305,0,TL,Timor-Leste,2016,TL2016DHS,HA_ANSS_W_NUM,135333040,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSWNUM,,2016,DHS,,4305,,,
TLS,210459,Number of women (unweighted),4348,0,TL,Timor-Leste,2016,TL2016DHS,HA_ANSS_W_UNW,135333050,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSWUNW,,2016,DHS,4305,,,,
TLS,584589,Woman is justified in refusing to have sexual intercourse with her husband if she knows he has sex with other women [Men],39.1,1,TL,Timor-Leste,2016,TL2016DHS,HA_ANSS_M_RSX,135334070,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSMRSX,,2016,DHS,4075,4059,,,
TLS,584590,Woman is justified in asking that they use a condom if she knows that her husband has an sti [Men],42,1,TL,Timor-Leste,2016,TL2016DHS,HA_ANSS_M_CND,135334080,I,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSMCND,,2016,DHS,4075,4059,,,
TLS,584591,Number of men,4075,0,TL,Timor-Leste,2016,TL2016DHS,HA_ANSS_M_NUM,135334090,D,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSMNUM,,2016,DHS,,4059,,,
TLS,98297,Number of men (unweighted),4059,0,TL,Timor-Leste,2016,TL2016DHS,HA_ANSS_M_UNW,135334100,U,10000,10000,Total 15-49,Total 15-49,0,,1,1,HAANSSMUNW,,2016,DHS,4075,,,,
